import time: self [us] | cumulative | imported package
import time:      4099 |      19504 |                           proto.marshal.collections
import time:      4112 |       4112 |                           proto.marshal.rules
import time:      7595 |       7595 |                           proto.marshal.rules.bytes
import time:      3862 |       3862 |                             proto.datetime_helpers
import time:      4147 |       8009 |                           proto.marshal.rules.dates
import time:      3951 |       3951 |                           proto.marshal.rules.field_mask
import time:      3787 |       3787 |                             proto.primitives
import time:      6430 |      10216 |                           proto.marshal.rules.stringy_numbers
import time:      3868 |       3868 |                           proto.marshal.rules.struct
import time:      6123 |       6123 |                           proto.marshal.rules.wrappers
import time:      7215 |     100907 |                         proto.marshal.marshal
import time:      5842 |     106749 |                       proto.marshal
import time:        18 |     106767 |                     proto.marshal.rules
import time:      4238 |     111004 |                   proto.marshal.rules.message
import time:      4486 |     115490 |                 proto._file_info
import time:      3716 |       3716 |                 proto._package_info
import time:      3532 |       3532 |                 proto.marshal.rules.enums
import time:      8356 |     299941 |               proto.enums
import time:      6076 |       6076 |               proto.fields
import time:      4236 |       4236 |                 google.protobuf.json_format
import time:      4140 |       8375 |               proto.message
import time:      4911 |       4911 |               proto.modules
import time:      4946 |       4946 |               proto.version
import time:      5929 |     330177 |             proto
import time:      2332 |       2332 |                 google.type
import time:      8290 |      10621 |               google.type.latlng_pb2
import time:      5253 |      15873 |             google.cloud.firestore_v1.types.document
import time:      8095 |     354144 |           google.cloud.firestore_v1.types.aggregation_result
import time:      4406 |       4406 |           google.cloud.firestore_v1.types.bloom_filter
import time:      4521 |       4521 |           google.cloud.firestore_v1.types.common
import time:      4767 |       4767 |             google.protobuf.any_pb2
import time:      8244 |      13010 |           google.cloud.firestore_v1.types.explain_stats
import time:      4064 |       4064 |               google.rpc
import time:      5793 |       9857 |             google.rpc.status_pb2
import time:      4360 |       4360 |             google.cloud.firestore_v1.types.pipeline
import time:      6887 |       6887 |             google.cloud.firestore_v1.types.query_profile
import time:      5255 |       5255 |             google.cloud.firestore_v1.types.write
import time:      6070 |       6070 |             google.cloud.firestore_v1.types.query
import time:     10310 |      42736 |           google.cloud.firestore_v1.types.firestore
import time:      6813 |     425628 |         google.cloud.firestore_v1.types
import time:      3821 |       3821 |               grpc._cython
import time:      5994 |       5994 |                   grpc._typing
import time:      4108 |      10101 |                 grpc._observability
import time:      1661 |       1661 |                 pkgutil
import time:     30616 |      42378 |               grpc._cython.cygrpc
import time:     13249 |      59447 |             grpc._compression
import time:      4687 |       4687 |             grpc._runtime_protos
import time:      8700 |       8700 |             grpc._grpcio_metadata
import time:      2748 |       2748 |             grpc_tools
import time:      2037 |       2037 |             grpc_health
import time:      2382 |       2382 |             grpc_reflection
import time:     10625 |      10625 |                   typing_extensions
import time:      4676 |      15301 |                 grpc.aio._metadata
import time:      6961 |       6961 |                 grpc.aio._typing
import time:      8518 |      30779 |               grpc.aio._base_call
import time:      7998 |       7998 |               grpc.aio._base_channel
import time:      5525 |       5525 |               grpc.aio._base_server
import time:      5328 |       5328 |                 grpc._common
import time:      9054 |      14382 |               grpc.aio._call
import time:      6041 |       6041 |                   grpc.aio._utils
import time:      7581 |      13622 |                 grpc.aio._interceptor
import time:      9040 |      22661 |               grpc.aio._channel
import time:      6117 |       6117 |               grpc.aio._server
import time:      8367 |      95826 |             grpc.aio
import time:      7198 |     183023 |           grpc
import time:      8790 |       8790 |             google.api_core.version
import time:      5997 |      14786 |           google.api_core
import time:      5885 |       5885 |               google.api_core.client_info
import time:      8760 |      14645 |             google.api_core.gapic_v1.client_info
import time:      5634 |       5634 |                 google.rpc.error_details_pb2
